strategy,fold,period,in_sample,cumulative_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,mean_turnover,total_turnover,cumulative_return_std,cagr_std,volatility_std,sharpe_std,sortino_std,max_drawdown_std,calmar_std,var_95_std,cvar_95_std,mean_turnover_std,total_turnover_std
a2c,0,2014-01-01_2015-12-31,True,-0.15338309465049937,-0.13683981911867366,0.1700211750581178,-1.0420982997972579,-1.3677330790103759,-0.219667424859876,-0.5389091368469309,-0.014616486715801014,-0.02559006608139596,1.2674826568803865,363.76752252467094,0.11213282271936573,0.10069843382105467,0.012767049714347872,0.7432509394077593,0.9340144560307578,0.07329941191524617,0.2890872845813044,0.001228246444558925,0.0023606309597973343,0.02953024693141732,8.47518086931676
a2c,1,2016-01-01_2017-12-31,True,1.0145706346499697,0.4427033523675205,0.3046168694583028,1.1419449749385302,1.788265977535802,-0.17435041909070687,2.6452111482577605,-0.02163083769194215,-0.039219227853424396,1.3250299112783592,636.0143574136124,0.19547146879982058,0.07415738987310239,0.04188792419465663,0.15161126753445126,0.3418879628920386,0.03582333139265895,0.6860851111500126,0.0034471175681426557,0.007740112702302612,0.02943285463175462,14.127770223242216
a2c,2,2018-01-01_2019-12-31,False,-0.472266075854687,-0.28573706824562606,0.48433955441954035,-0.7430648596222366,-0.8670408609078685,-0.6705139660205568,-0.40131905540675233,-0.04914913113167966,-0.08188243443155604,0.9487026073131302,477.19741147850453,0.20197917152708536,0.13023951644120982,0.048060074586852256,0.31793787881136,0.3567942185192731,0.13174396482867592,0.15464295247510257,0.006866126392949099,0.011805069773409997,0.06756924884153068,33.987332167289956
a2c,3,2020-01-01_2021-12-31,False,1.2054954718747823,0.39868527385091584,0.43354407401178985,0.5093448140079457,0.6792765047186082,-0.3687837599427338,1.0538924596480659,-0.03753374075111829,-0.06522003056199759,1.1887348035989678,600.3110758174788,1.6761534900330803,0.4946445771291244,0.07945794013272543,0.5764920322512591,0.7985693383868604,0.10245268328678096,1.3197207037830376,0.00394849394922792,0.009259653718739566,0.05527997635301839,27.91638805827426
a2c,4,2022-01-01_2023-12-31,False,-0.12903884557473838,-0.07473097030584844,0.44674055063616824,-0.23345016912242866,-0.27526309327585285,-0.5956497122840078,-0.08768290204001976,-0.04255807686077849,-0.06875525350107654,0.8863329485078143,444.052807202415,0.22153755726007035,0.11953113972798125,0.026096366228281744,0.2918706223738316,0.3718259766132062,0.11644400519623012,0.21148806726608255,0.004661625167732834,0.0077331694175242615,0.13092200344850236,65.59192372769968
a2c,5,2024-01-01_2025-12-30,False,0.8574352666946019,0.36124163976185947,0.38243225303263656,0.7495514935737769,1.0879310529254607,-0.35082024660474,1.103102305389728,-0.03577387418011586,-0.05347735191283477,1.0297254988470703,515.8924749223822,0.28202188979770193,0.10719296783802659,0.03647738956780979,0.20657378543585822,0.30987542244301225,0.07229901697761036,0.40051280287023083,0.0023744482737545107,0.006621912856660935,0.05335375025530693,26.73022887790877
bc,0,2014-01-01_2015-12-31,True,0.044942635263655314,0.03935514733401284,0.12144780278086713,0.15311860422905077,0.21492025083880076,-0.10912115177529111,0.36068086173793035,-0.011336703200889059,-0.017742769947205746,0.021238847572205902,6.095549253223094,0.0024787269282650713,0.002164497336242704,0.00018527463034778818,0.016921208425814644,0.023729799135713412,0.0003253344352173458,0.020252083365531675,4.8499589346852384e-05,2.5169594815774068e-05,0.0005684343313114771,0.16314065308639417
bc,1,2016-01-01_2017-12-31,True,0.9305465804347552,0.41247754322861174,0.09722954948211045,3.346142400875366,4.901236810812717,-0.06135800667608924,6.723142543008185,-0.00870524751271131,-0.012956150195915051,0.017563511951689724,8.430485736811068,0.006413174499684872,0.002463746184796544,0.00051708614090844,0.004005485733631082,0.01979358752910649,0.0006250035236905633,0.07692523559659466,2.9893816795169766e-05,5.7723995405748736e-05,0.00021117715997067565,0.10136503678592425
bc,2,2018-01-01_2019-12-31,False,0.19202230466011638,0.09198257875940268,0.12725004092512046,0.5367989922983151,0.7121455776191767,-0.18611514160841672,0.49807831297256105,-0.014133052541478239,-0.019494516121880585,0.02004031796791641,10.080279937861954,0.007774558868108798,0.0035691016748666104,0.006837691529238134,0.0492147076852598,0.07432227761438621,0.014969152315184291,0.0499072792050555,0.0008001781319504515,0.0011576776999833178,0.001206536947779887,0.6068880847332832
bc,3,2020-01-01_2021-12-31,False,0.7957145392481547,0.3387308192257296,0.20396615183447211,1.3450145492177759,1.5049903755563112,-0.23968929359885194,1.455131730735469,-0.016737581358768114,-0.031277073802733715,0.07119502446584759,35.95348735525303,0.10065499742455855,0.037792692082375484,0.013792966271871253,0.22345165089583033,0.29689021957408257,0.03054813948230517,0.3300833144031568,0.0008884358109817977,0.0021513039613844445,0.0010570191894150106,0.5337946906545779
