strategy,seed,quantile,target_rtg,realized_log_return,realized_cagr,sharpe
dt,42,0.1,-0.1892314016819,1.1887552001227863,0.21991748181430193,0.9825621789434487
dt,42,0.25,-0.06414157710969448,1.1850591068148097,0.2191637333038845,0.9792515245584243
dt,42,0.5,0.06372150778770447,1.188680062118115,0.21990215419613346,0.9818956989384735
dt,42,0.75,0.24021846055984497,1.1980382588388745,0.22181264217550822,0.9890219232623683
dt,42,0.9,0.36832209825515744,1.2092001121666105,0.22409526196749896,0.9981338545571932
dt,123,0.1,-0.1892314016819,1.2640275992774725,0.2353696563979022,1.1395333673683083
dt,123,0.25,-0.06414157710969448,1.2613214810826376,0.2348107581853307,1.1372172571277332
dt,123,0.5,0.06372150778770447,1.2618017730254598,0.23490993506364366,1.137976932654154
dt,123,0.75,0.24021846055984497,1.2629132360733195,0.235139474843562,1.1397242583048468
dt,123,0.9,0.36832209825515744,1.2648385435380485,0.23553719105824356,1.1413284620494746
dt,456,0.1,-0.1892314016819,1.3103366721902714,0.24497323138954985,1.1498531753437278
dt,456,0.25,-0.06414157710969448,1.307783381486375,0.24444179063487015,1.1478780836393783
dt,456,0.5,0.06372150778770447,1.3075403745908256,0.24439122311556027,1.1480756364787958
dt,456,0.75,0.24021846055984497,1.3121885356621665,0.24535881939222448,1.1522712013179905
dt,456,0.9,0.36832209825515744,1.3149213259772934,0.2459280488068889,1.1542089187893965
dt,789,0.1,-0.1892314016819,1.1205552202114475,0.2060841143089689,0.9292250574498615
dt,789,0.25,-0.06414157710969448,1.1221723410313988,0.20641030087851298,0.9302916711021302
dt,789,0.5,0.06372150778770447,1.1273417257657483,0.20745360014420022,0.934717668449581
dt,789,0.75,0.24021846055984497,1.1328800009388418,0.20857235101606486,0.9391802722744477
dt,789,0.9,0.36832209825515744,1.134379961201044,0.2088755265584641,0.9403127020413385
dt,1011,0.1,-0.1892314016819,1.3191401476987201,0.24680732360319957,1.2196858421752796
dt,1011,0.25,-0.06414157710969448,1.315601240186577,0.2460697126624951,1.216126898807389
dt,1011,0.5,0.06372150778770447,1.3154396620206823,0.24603604550617342,1.2155241231755065
dt,1011,0.75,0.24021846055984497,1.3183905364076156,0.24665104643481905,1.217287026438479
dt,1011,0.9,0.36832209825515744,1.3234446904440742,0.24770510369508525,1.2210061177868177
