transaction_cost,strategy,cumulative_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,mean_turnover,total_turnover,algo
0.0,buy_and_hold,2.569309250683415,0.23709464838453043,0.17235124233620228,1.118446274760424,1.378734450890435,-0.23290510666551958,1.0179881917532514,-0.015875878695959682,-0.02566829108051967,6.634448207207596e-16,9.998113448261847e-13,buy_and_hold
0.0,equal_weight,2.569309250683415,0.23709464838453043,0.17235124233620228,1.118446274760424,1.378734450890435,-0.23290510666551958,1.0179881917532514,-0.015875878695959682,-0.02566829108051967,6.634448207207596e-16,9.998113448261847e-13,equal_weight
0.0,mean_variance,2.684678778917917,0.2436928675364709,0.17601593112815148,1.1253815010773276,1.4053608417784773,-0.23290510666551958,1.0463182668057334,-0.01664664341329713,-0.02607553123877123,0.0068065645363195905,10.257492756233622,mean_variance
0.0,min_variance,2.5274512997018284,0.23465675456596058,0.17098568597515595,1.1158419421845653,1.3720062821173777,-0.23290510666551958,1.0075208651519891,-0.015727636791277307,-0.02547689494618372,0.00016377460625661177,0.24680833162871396,min_variance
0.0,risk_parity,0.03596764056716917,0.005926349672893849,0.08129216272879754,-0.17333949042867655,-0.14123251096536568,-0.23290510666551958,0.025445340197734766,-2.6087871798389185e-05,-0.0072482097461794145,0.0014012349408248448,2.111661055823041,risk_parity
0.0,momentum,4.267544616059858,0.3202831128098631,0.22589168225783735,1.1414594394315127,1.5333943377443402,-0.29567760318058683,1.0832173602755035,-0.022186003416691837,-0.033461407886840176,0.15058299364853717,226.9285714283455,momentum
0.0,dt_seed42,2.710853788985323,0.2451658809588002,0.22059485883260088,0.9033245825118805,1.1365850504990915,-0.3490593979645607,0.7023614960330946,-0.020925332675823183,-0.033019676196047565,0.13574489393310488,204.56755515718905,dt
0.0,dt_seed123,2.4506873280756,0.23012255948070015,0.17536968036599435,1.066967824108078,1.3232579544083143,-0.21631069297051125,1.0638519821674826,-0.016237610369740505,-0.025780453366968412,0.042640234827072035,64.25883388439756,dt
0.0,dt_seed456,2.2622980228831726,0.218628239480521,0.17665679643275944,1.0060514843501023,1.213372600903952,-0.25552597906014113,0.8556008288654838,-0.016331890446174984,-0.02645285666823493,0.04153064028795155,62.58667491394299,dt
0.0,dt_seed789,2.685958984314634,0.2437651141727719,0.17189090230037551,1.1527262866378452,1.4530434889986836,-0.22543920909790793,1.0812897860500614,-0.016339899247494086,-0.02537951253371222,0.04329734373176266,65.24909700376632,dt
