strategy,fold,period,in_sample,cumulative_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,mean_turnover,total_turnover,cumulative_return_std,cagr_std,volatility_std,sharpe_std,sortino_std,max_drawdown_std,calmar_std,var_95_std,cvar_95_std,mean_turnover_std,total_turnover_std
a2c,0,2014-01-01_2015-12-31,True,-0.33902812005235416,-0.1895700154924456,0.176045662282873,-1.3397515250610825,-1.7378489033048357,-0.3487005055726969,-0.5334582204654731,-0.017458258472276857,-0.02805539650030765,1.076269028591025,542.4395904098767,0.10321195786552546,0.0646151697260865,0.006238399854534485,0.5033732394404596,0.6448222719542991,0.09418401750996787,0.03949786825723685,0.0006008179973360258,0.0013579123415461917,0.07517499184494467,37.88819588985213
a2c,1,2016-01-01_2017-12-31,True,0.12025997793807663,0.052817916775592555,0.22743793795935482,0.09249277522712764,0.18510480642864613,-0.2501004108151653,0.27515345556183657,-0.020115355360814796,-0.03200299293699685,1.163750895513217,585.366700443148,0.23017910345901332,0.11015913982570355,0.019417038289534106,0.47294031156331656,0.6918909760359128,0.05308248203090073,0.4348659437959984,0.0015784641825063242,0.0018521644888797953,0.04166749822252058,20.95875160592784
a2c,2,2018-01-01_2019-12-31,False,0.31877157947057455,0.13774014465887882,0.21735186160643066,0.4742993493924148,0.6710199407363188,-0.2861468759400302,0.687279183156679,-0.02088172083062865,-0.03358997363025983,1.1444443613050728,575.6555137364516,0.35945284121851984,0.15856690300104004,0.00894613275887033,0.6566877386949908,0.8925686838994109,0.09078804258648915,0.743879327191535,0.0024547783518582863,0.0033647782374614855,0.04009198760502926,20.166269765329748
a2c,3,2020-01-01_2021-12-31,False,-0.06824142347951459,-0.03987057556650377,0.33745082675674815,-0.18748973876652775,-0.23482819007808695,-0.36883977547789504,-0.03719672596931415,-0.033362784026983866,-0.053277389747173755,1.1332222931376839,572.2772580345303,0.19898837082351647,0.10000052067516386,0.02436125158862908,0.31911894165208066,0.40911648409330614,0.08461963339806826,0.3300272177398363,0.0037820194311012872,0.0036056275426128753,0.03841127278808108,19.397692757980955
a2c,4,2022-01-01_2023-12-31,False,-0.03252553153239588,-0.033031126995953806,0.29438897496420113,-0.22855349985263795,-0.23594473310543992,-0.3764006786863716,0.052076175910179365,-0.028702945750906716,-0.04273824692383728,1.0992225395975577,550.7104923383764,0.35692362219664764,0.18067468259142022,0.009990932770019818,0.6309238858331816,0.852386208680177,0.10882427427272422,0.5704633777729006,0.0039192915570384415,0.005216274931912374,0.06312686249171129,31.626558108347375
a2c,5,2024-01-01_2025-12-30,False,0.15269345162172987,0.05629557970118522,0.2843671053279427,0.03315810405049711,0.04883752100283175,-0.37043261883232326,0.26783526099419,-0.026321412609260436,-0.04186458648922594,1.186129108518734,594.2506833678857,0.42690031330270006,0.1958973230140145,0.02824712413302763,0.619107578691067,0.878889942809762,0.09336879993314225,0.5826266831656219,0.0023792080228670597,0.0025291926881260544,0.024501289350176293,12.275145964438329
bc,0,2014-01-01_2015-12-31,True,0.12981270148416071,0.0629261923473575,0.10867307406137475,0.3775050871469657,0.5566821013368036,-0.10886014785604917,0.5780588140820386,-0.01097203903819351,-0.014920334157445012,0.01692386013283423,8.529625506948452,0.0016616471527232648,0.0007817327606630823,0.00028519096589895094,0.006298246934666258,0.009088346283497348,0.00039941849166146785,0.007858253930857085,8.381051356365262e-05,3.7859908326813204e-05,0.0003469885400457436,0.17488222418305552
bc,1,2016-01-01_2017-12-31,True,0.6113527748731609,0.26999250885515097,0.09311863678373089,2.3519733968801466,3.2261418648211952,-0.06301987055499363,4.284792551148169,-0.009042199847409513,-0.01332702756549858,0.01665584522614738,8.377890148752133,0.0023076969547550954,0.0009110614206271075,0.00029729520894644906,0.009732800988526084,0.019302686845091465,0.0006685264842405921,0.05336093387484718,0.00010442335883171216,5.2449902078265424e-05,0.0005990026336595505,0.30129832473075496
bc,2,2018-01-01_2019-12-31,False,0.27638117796379325,0.13004366711074805,0.13159968205006506,0.7770364802879705,1.019315898846239,-0.18766858367961664,0.692984774939127,-0.015418908738425377,-0.02032468954059216,0.016450285912632135,8.274493814053963,0.003090640432525736,0.001370544548233443,0.00046828808274734833,0.01017365517587369,0.014354371371942861,0.0010421877934801331,0.009844929873294994,9.774817366049198e-05,7.517456888125177e-05,0.0008911564512921641,0.44825169499995904
bc,3,2020-01-01_2021-12-31,False,0.61431737242255,0.26983220265291014,0.2080725429826665,1.0562920751303966,1.173527327086632,-0.24939828969577665,1.1097032759964285,-0.01711469524909018,-0.032377067444631334,0.0682383667138031,34.460375190470565,0.04538591042196357,0.017666534014995603,0.009921742243520305,0.1114731888376754,0.15814652824801567,0.03283479593893291,0.21834792348111137,0.00025260650332966647,0.0019513223309167574,0.0021135005795119496,1.0673177926535338
