strategy,seed,quantile,target_rtg,realized_log_return,realized_cagr,sharpe
dt,42,0.1,-0.2616685688495636,1.1679499028599734,0.21568069686468672,0.9412681853886711
dt,42,0.25,-0.12275289185345173,1.1670652614954196,0.21550087523481487,0.9408859025947234
dt,42,0.5,0.006053161807358265,1.157524944696134,0.2135632981678195,0.9335419006850308
dt,42,0.75,0.13036009669303894,1.1128815553253593,0.20453747478497397,0.7563748953288026
dt,42,0.9,0.24832638353109357,1.105655411870607,0.20308284719903802,0.7471426402666101
dt,123,0.1,-0.2616685688495636,1.1702829753189925,0.21615506963936837,1.0042589282867151
dt,123,0.25,-0.12275289185345173,1.1687832970197447,0.21585012577745077,1.0029198270596487
dt,123,0.5,0.006053161807358265,1.166480694360795,0.21538206448599762,1.0004885897554063
dt,123,0.75,0.13036009669303894,1.1710983852974175,0.21632090680773564,1.0038215388900982
dt,123,0.9,0.24832638353109357,1.1745046994815227,0.21701392375744732,1.0058869321642097
dt,456,0.1,-0.2616685688495636,1.1244710092553898,0.20687411299284175,0.9519256248314152
dt,456,0.25,-0.12275289185345173,1.121323918537935,0.2062391560847825,0.9491197545280933
dt,456,0.5,0.006053161807358265,1.1169235667105293,0.20535190132145265,0.9448522522659557
dt,456,0.75,0.13036009669303894,1.1186647490057606,0.20570290253204515,0.9460610998159946
dt,456,0.9,0.24832638353109357,1.1199239859352867,0.20595681309706326,0.9468097960342983
dt,789,0.1,-0.2616685688495636,1.2398332049048677,0.23038172191409645,1.0906535249251927
dt,789,0.25,-0.12275289185345173,1.2389316336167142,0.23019624302119857,1.0896704331100027
dt,789,0.5,0.006053161807358265,1.2370189383630241,0.22980283970685345,1.0874930834033039
dt,789,0.75,0.13036009669303894,1.2389174725151824,0.23019332990232333,1.0890216507643022
dt,789,0.9,0.24832638353109357,1.239304408841029,0.23027293011171102,1.08935559705324
dt,1011,0.1,-0.2616685688495636,1.1904388322992487,0.22026098130445382,1.0403281604548944
dt,1011,0.25,-0.12275289185345173,1.1887910875671337,0.21992480266548253,1.0389055773601903
dt,1011,0.5,0.006053161807358265,1.1865064567831274,0.21945883753461426,1.0365728973680033
dt,1011,0.75,0.13036009669303894,1.1892251496878532,0.22001335254997567,1.0387394120177629
dt,1011,0.9,0.24832638353109357,1.192213490940714,0.22062315698343737,1.0409283856785887
