K,cumulative_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,mean_turnover,total_turnover,strategy,val_loss,best_epoch,final_train_loss
10,2.248530307463681,0.2177667276467259,0.18653122880649983,0.9490026483092979,1.1332360378597217,-0.2884845713915558,0.7548643818152561,-0.01683807780641658,-0.0282406131197942,0.04272152517514284,64.38133843894026,dt_K10,0.0032978110713884233,49,0.0032016625953838
20,2.2269348449209616,0.2164092510039053,0.1869347566903788,0.9409875677387078,1.1207594040518403,-0.2893819354536622,0.7478326201137673,-0.01693676463265327,-0.028382107750661335,0.04228063861373501,63.71692239089866,dt_K20,0.0033028439327608796,49,0.0032239189557731
30,2.021203952981304,0.20308284719903802,0.22069052534210773,0.7471426402666101,0.9395696967329418,-0.3743171837264857,0.5425421434764562,-0.02110728654097832,-0.03322781230438428,0.13603145303369568,204.9993997217794,dt_K30,0.0033093543082941324,48,0.0032421382761094
50,1.6586166900308021,0.17763520011263578,0.21521086410129475,0.6668267447603673,0.8287637751404788,-0.37829167319119567,0.46957205960717946,-0.02076963450897278,-0.03276315228455644,0.14630408673472686,220.4802587092334,dt_K50,0.0033011110790539533,49,0.0032251812680624
